publish_date,media_name,title,url
2025-04-09,app.com.pk,"DPM Dar telephones Bangladesh Foreign Advisor, reiterates commitment for future cooperation",https://www.app.com.pk/national/dpm-dar-telephones-bangladesh-foreign-advisor-reiterates-commitment-for-future-cooperation/
2025-04-09,therecord.com,Nintendo Switch 2 preorders delayed in Canada because of Trump tariffs,https://www.therecord.com/thestar/entertainment/nintendo-switch-2-preorders-delayed-in-canada-because-of-trump-tariffs/article_fd97da9a-43fe-5c5b-86bc-8af95a17a0c6.html
2025-04-09,wvnews.com,Alcaraz recovers to beat Cerundolo in 2nd round of Monte Carlo Masters,https://www.wvnews.com/sports/pro/alcaraz-recovers-to-beat-cerundolo-in-2nd-round-of-monte-carlo-masters/article_be03bc14-c859-585b-9742-bdab9d2cde23.html
2025-04-09,kdhnews.com,Michigan Democratic Gov. Whitmer strays from her party in moving closer to Trump,https://kdhnews.com/news/nation/michigan-democratic-gov-whitmer-strays-from-her-party-in-moving-closer-to-trump/article_666bd50a-1d7f-5dba-80cb-b7eb7c9de783.html
2025-04-09,wral.com,The Latest: EU members approve new tariffs on $23 billion in US goods,https://www.wral.com/story/the-latest-asia-shares-sink-as-us-tariffs-take-effect/21951124/
2025-04-09,kdhnews.com,"4 charged after Virginia shooting that killed 3, authorities say",https://kdhnews.com/news/nation/4-charged-after-virginia-shooting-that-killed-3-authorities-say/article_040886f2-2381-5f08-9a4c-5b57cc6d2a44.html
2025-04-09,kdhnews.com,Delta Air Lines had been expecting a record year. Then a trade war broke out,https://kdhnews.com/news/nation/delta-had-been-expecting-a-record-year-then-a-trade-war-broke-out/article_a695c96b-45a7-55c4-8689-3c1a1f6625b1.html
2025-04-09,kdhnews.com,Jackie Robinson becomes 1st black player of the 20th century to sign MLB contract,https://kdhnews.com/sports/golf/today-in-sports---jackie-robinson-becomes-1st-black-player-of-the-20th-century/article_7bb5a90a-f500-5167-9261-e38d5c35b5d5.html
2025-04-09,bollywoodhungama.com,"Shahid Kapoor starrer Deva trends in 20+ countries on Netflix, including Pakistan, Bahrain, Bangladesh, Qatar, and more!",https://www.bollywoodhungama.com/news/features/shahid-kapoor-starrer-deva-trends-20-countries-netflix-including-pakistan-bahrain-bangladesh-qatar/
2025-04-09,kdhnews.com,Beijing consumers mull spending habits as 'worrying' tariffs kick in,https://kdhnews.com/news/nation/beijing-consumers-mull-spending-habits-as-worrying-tariffs-kick-in/article_e5d557d3-2f27-5f8a-9b3d-075eb7179d95.html
2025-04-09,kdhnews.com,‘Fox & Friends’: Steve Doocy Says Trump Tariffs Have Republican Donors ‘Terrified’,https://kdhnews.com/living/ae/fox-friends-steve-doocy-says-trump-tariffs-have-republican-donors-terrified/article_97b11014-e1c0-5570-be0d-3a8a5059c356.html
2025-04-09,therecord.com,Canadian men to train in Halifax ahead of four-team Canadian Shield event in June,https://www.therecord.com/sports/soccer/canadian-men-to-train-in-halifax-ahead-of-four-team-canadian-shield-event-in-june/article_76e875af-faa5-5744-bc52-5fe0f4e14e78.html
2025-04-09,kdhnews.com,DOJ extradites violent foreign nationals for prosecution in multiple states,https://kdhnews.com/news/nation/doj-extradites-violent-foreign-nationals-for-prosecution-in-multiple-states/article_387a193e-7c43-56fa-b303-c20d084056b7.html
2025-04-09,therecord.com,TBM still says ‘no’ to hybrid planning model proposed by county,https://www.therecord.com/news/canada/tbm-still-says-no-to-hybrid-planning-model-proposed-by-county/article_83cda070-2360-5b9b-ab8a-a0cf9ab248c1.html
2025-04-09,kdhnews.com,AP News Summary at 11:03 a.m. EDT,https://kdhnews.com/news/nation/ap-news-summary-at-11-03-a-m-edt/article_fcd0abd2-7916-508d-ab33-f598472ad257.html
2025-04-09,gazette-news.co.uk,Colchester-based solicitor prepares to run London Marathon for charity,https://www.gazette-news.co.uk/news/25044627.colchester-based-solicitor-run-london-marathon-lepra/?ref=rss
2025-04-09,virginiabusiness.com,The Latest: Asia and European shares sink as US tariffs take effect,https://virginiabusiness.com/the-latest-asia-and-european-shares-sink-as-us-tariffs-take-effect/
2025-04-09,niagarafallsreview.ca,Alcaraz recovers to beat Cerundolo in 2nd round of Monte Carlo Masters,https://www.niagarafallsreview.ca/sports/tennis/alcaraz-recovers-to-beat-cerundolo-in-2nd-round-of-monte-carlo-masters/article_9a683dc7-d8ef-52c3-bf42-4c199fb194b5.html
2025-04-09,wellandtribune.ca,"Number of homeless people in Ottawa has grown to 3,000, local charity says",https://www.wellandtribune.ca/news/ontario/number-of-homeless-people-in-ottawa-has-grown-to-3-000-local-charity-says/article_ac2c3d47-cdf8-5ea4-bf45-2a5ed3a01a4d.html
2025-04-09,wellandtribune.ca,"Post to shutter Cobourg cereal plant, impacting 300 jobs by December 2025",https://www.wellandtribune.ca/news/post-to-shutter-cobourg-cereal-plant-impacting-300-jobs-by-december-2025/article_6272f6aa-fafe-573c-adc2-b5c6e5c608ef.html
2025-04-09,niagarafallsreview.ca,"Number of homeless people in Ottawa has grown to 3,000, local charity says",https://www.niagarafallsreview.ca/news/ontario/number-of-homeless-people-in-ottawa-has-grown-to-3-000-local-charity-says/article_56f84097-06a6-58c0-87d1-aa64f285e889.html
2025-04-09,trentonian.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.trentonian.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,niagarafallsreview.ca,"Post to shutter Cobourg cereal plant, impacting 300 jobs by December 2025",https://www.niagarafallsreview.ca/news/post-to-shutter-cobourg-cereal-plant-impacting-300-jobs-by-december-2025/article_62f8a3a3-7d37-54f6-933b-2273cc1a68e0.html
2025-04-09,coloradohometownweekly.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.coloradohometownweekly.com/2025/04/09/tariffs-international-grocery-stores-impact/
2025-04-09,sportskeeda.com,Olympic gold medalist Emma McKeon rocks matching two-piece fit in latest mirror selfie,https://www.sportskeeda.com/us/olympics/news-olympic-gold-medalist-emma-mckeon-rocks-matching-two-piece-fit-latest-mirror-selfie
2025-04-09,niagarafallsreview.ca,Canadian men to train in Halifax ahead of four-team Canadian Shield event in June,https://www.niagarafallsreview.ca/sports/soccer/canadian-men-to-train-in-halifax-ahead-of-four-team-canadian-shield-event-in-june/article_2838d17b-b7b6-5cc0-af05-f77ed8e615cf.html
2025-04-09,niagarafallsreview.ca,TBM still says ‘no’ to hybrid planning model proposed by county,https://www.niagarafallsreview.ca/news/canada/tbm-still-says-no-to-hybrid-planning-model-proposed-by-county/article_84e18530-4cae-5e47-9b12-4d2dfb8503db.html
2025-04-09,wellandtribune.ca,Alcaraz recovers to beat Cerundolo in 2nd round of Monte Carlo Masters,https://www.wellandtribune.ca/sports/tennis/alcaraz-recovers-to-beat-cerundolo-in-2nd-round-of-monte-carlo-masters/article_ca95a32e-35f7-52c5-b480-9604f5cb2e83.html
2025-04-09,richmond-news.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.richmond-news.com/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497859
2025-04-09,barrietoday.com,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.barrietoday.com/business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
2025-04-09,dawn.com,Pakistan beat Ireland in ICC Women’s World Cup qualifier opener in low scoring thriller,https://www.dawn.com/news/1903121/pakistan-beat-ireland-in-icc-womens-world-cup-qualifier-opener-in-low-scoring-thriller
2025-04-09,siasat.com,"ED Hyderabad leads in filing prosecution complaints, arrests dip in 2024-25",https://www.siasat.com/ed-hyderabad-leads-in-filing-prosecution-complaints-arrests-dip-in-2024-25-3205291/
2025-04-09,rapidcityjournal.com,War Eagles Club returns to Chadron State,https://rapidcityjournal.com/news/community/chadron/article_f2798f9c-3ee0-403a-bb18-12df90aa05dc.html
2025-04-09,lakelandtoday.ca,"Roots has 'limited' tariff exposure, watching for shift in consumer sentiment: CEO",https://www.lakelandtoday.ca/national-business/roots-has-limited-tariff-exposure-watching-for-shift-in-consumer-sentiment-ceo-10497854
2025-04-09,local10.com,Asian supermarket customers brace for price hikes as Trump tariffs take effect,https://www.local10.com/business/2025/04/09/asian-supermarket-customers-brace-for-price-hikes-as-trump-tariffs-take-effect/
